FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,160,5000,node0_0_0_10|e1|sw_0_3-P2|e6|4|sw_0_6-P4|e20|3|sw_0_9-P0|e3|4|node0_0_0_12
VLAN_0_Flow_3,800,10000,node0_0_0_10|e1|sw_0_3-P3|e7|2|sw_0_0-P3|e21|1|sw_0_9-P0|e3|2|node0_0_0_12
VLAN_0_Flow_5,160,10000,node0_0_0_10|e1|sw_0_3-P2|e6|4|sw_0_6-P5|e26|3|sw_0_1-P0|e4|4|node0_0_0_13
VLAN_0_Flow_5,800,10000,node0_0_0_10|e1|sw_0_3-P3|e7|2|sw_0_0-P4|e25|1|sw_0_1-P0|e4|2|node0_0_0_13
VLAN_0_Flow_6,800,10000,node0_0_0_10|e1|sw_0_3-P3|e7|2|sw_0_0-P4|e25|1|sw_0_1-P0|e4|2|node0_0_0_13
VLAN_0_Flow_7,800,10000,node0_0_0_10|e1|sw_0_3-P3|e7|2|sw_0_0-P4|e25|1|sw_0_1-P0|e4|2|node0_0_0_13
VLAN_0_Flow_9,80,1000,node0_0_0_13|e4|sw_0_1-P2|e25|7|sw_0_0-P1|e13|6|sw_0_2-P0|e2|5|node0_0_0_11
VLAN_0_Flow_10,100,2000,node0_0_0_13|e4|sw_0_1-P2|e25|7|sw_0_0-P1|e13|5|sw_0_2-P0|e2|7|node0_0_0_11
VLAN_0_Flow_10,80,2000,node0_0_0_10|e1|sw_0_3-P2|e6|7|sw_0_6-P5|e26|6|sw_0_1-P0|e4|5|node0_0_0_13
VLAN_0_Flow_11,160,5000,node0_0_0_13|e4|sw_0_1-P3|e26|4|sw_0_6-P2|e12|3|sw_0_2-P0|e2|4|node0_0_0_11
VLAN_0_Flow_12,140,5000,node0_0_0_10|e1|sw_0_3-P3|e7|6|sw_0_0-P5|e27|5|sw_0_6-P4|e20|6|sw_0_9-P0|e3|5|node0_0_0_12
VLAN_0_Flow_12,160,5000,node0_0_0_10|e1|sw_0_3-P3|e7|4|sw_0_0-P3|e21|3|sw_0_9-P0|e3|4|node0_0_0_12
VLAN_0_Flow_13,120,2000,node0_0_0_10|e1|sw_0_3-P3|e7|6|sw_0_0-P4|e25|5|sw_0_1-P0|e4|6|node0_0_0_13
VLAN_0_Flow_15,200,5000,node0_0_0_10|e1|sw_0_3-P3|e7|4|sw_0_0-P5|e27|3|sw_0_6-P2|e12|4|sw_0_2-P0|e2|3|node0_0_0_11
