TC2 scheduled/num_streams 141/260 = 54.23%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 35, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 100us bandwidth: 6250.0bytes k: 2 (78.0, '%', 'unscheduled', 17, 'total', 78, 'e2e too large', [], 'bandwidth violation', [248, 237, 183, 202, 30, 146, 236, 131, 180, 144, 205, 79, 92, 210, 76, 52, 10])
 cycle_time: 50us bandwidth: 3125.0bytes k: 1 (31.0, '%', 'unscheduled', 102, 'total', 147, 'e2e too large', [], 'bandwidth violation', [243, 214, 89, 50, 55, 231, 208, 181, 53, 33, 142, 36, 47, 123, 156, 1, 199, 13, 77, 41, 46, 83, 15, 91, 147, 21, 242, 224, 23, 104, 211, 255, 20, 182, 72, 235, 54, 135, 258, 174, 227, 213, 191, 119, 163, 154, 69, 45, 246, 95, 239, 111, 27, 132, 65, 252, 141, 48, 167, 179, 39, 88, 127, 100, 122, 165, 254, 175, 0, 216, 173, 109, 177, 115, 136, 81, 97, 145, 108, 11, 62, 42, 225, 195, 103, 203, 259, 257, 117, 153, 107, 125, 134, 40, 106, 190, 162, 121, 217, 86, 188, 22])
Stream: id 151 | k_group 1 | q_n 3 | node0_0_5_4->node0_0_5_2 | period 200.0| deadline 22.72 | size 472| injection delay:0['node0_0_5_4', 'sw_0_5', 'node0_0_5_2']['q7']
Stream: id 39 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_4_3 | period 100.0| deadline 22.92 | size 688| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_3']['q7', 'q6', 'q5']
Stream: id 89 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_3_3 | period 40.0| deadline 22.96 | size 1311| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_3']['q7', 'q6', 'q5', 'q7']
Stream: id 91 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_3 | period 100.0| deadline 23.04 | size 1446| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_3']['q7', 'q6', 'q5']
Stream: id 246 | k_group 1 | q_n 3 | node0_0_0_2->node0_0_4_2 | period 200.0| deadline 23.08 | size 1436| injection delay:0['node0_0_0_2', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 114 | k_group 1 | q_n 3 | node0_0_4_1->node0_0_3_3 | period 40.0| deadline 23.16 | size 417| injection delay:0['node0_0_4_1', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'node0_0_3_3']['q7', 'q6', 'q5', 'q7', 'q6', 'q5']
Stream: id 219 | k_group 1 | q_n 3 | node0_0_3_1->node0_0_3_4 | period 40.0| deadline 23.24 | size 1162| injection delay:0['node0_0_3_1', 'sw_0_3', 'node0_0_3_4']['q7']
Stream: id 258 | k_group 1 | q_n 3 | node0_0_2_0->node0_0_4_2 | period 40.0| deadline 23.28 | size 660| injection delay:0['node0_0_2_0', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 179 | k_group 1 | q_n 3 | node0_0_0_4->node0_0_5_2 | period 200.0| deadline 23.32 | size 741| injection delay:0['node0_0_0_4', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q7', 'q6']
Stream: id 18 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_5_3 | period 100.0| deadline 23.36 | size 212| injection delay:1['node0_0_5_1', 'sw_0_5', 'node0_0_5_3']['q6']
Stream: id 62 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_2_4 | period 100.0| deadline 23.52 | size 847| injection delay:0['node0_0_2_3', 'sw_0_2', 'node0_0_2_4']['q7']
Stream: id 135 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_4 | period 40.0| deadline 23.6 | size 781| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_4']['q7', 'q5', 'q7']
Stream: id 35 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_5_2 | period 200.0| deadline 23.68 | size 291| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'sw_0_5', 'node0_0_5_2']['q7', 'q6', 'q5', 'q7']
Stream: id 213 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_4 | period 40.0| deadline 23.8 | size 528| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_4']['q7', 'q6', 'q5']
