FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_1,140,2000,node0_0_0_6|P0-sw_0_8|e1|7|P3-sw_0_1|e5|5|P1-sw_0_4|e9|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_2,140,1000,node0_0_0_6|P0-sw_0_8|e1|7|P4-sw_0_1|e6|5|P1-sw_0_5|e12|6|P2-sw_0_4|e10|5|node0_0_0_7
VLAN_0_Flow_4,160,2000,node0_0_0_6|P0-sw_0_8|e1|5|P1-sw_0_1|e3|7|P1-sw_0_0|e8|6|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_6,160,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_7,80,5000,node0_0_0_6|P0-sw_0_8|e1|7|P3-sw_0_1|e5|6|P3-sw_0_4|e11|5|node0_0_0_9
VLAN_0_Flow_8,240,10000,node0_0_0_6|P0-sw_0_8|e1|3|P4-sw_0_1|e6|4|P1-sw_0_5|e12|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_9,180,2000,node0_0_0_6|P0-sw_0_8|e1|5|P2-sw_0_1|e4|6|P3-sw_0_2|e9|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_10,120,5000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_11,120,1000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_12,800,10000,node0_0_0_6|P0-sw_0_8|e1|2|P3-sw_0_1|e5|1|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_14,600,10000,node0_0_0_9|P2-sw_0_4|e10|1|node0_0_0_7
VLAN_0_Flow_15,120,1000,node0_0_0_9|P0-sw_0_4|e5|7|P2-sw_0_1|e4|5|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_16,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_17,60,1999,node0_0_0_9|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_18,200,5000,node0_0_0_9|P0-sw_0_4|e5|4|P1-sw_0_1|e3|3|P1-sw_0_0|e8|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_19,120,5000,node0_0_0_9|P2-sw_0_4|e10|3|node0_0_0_7
VLAN_0_Flow_20,100,1000,node0_0_0_9|P1-sw_0_4|e9|6|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_21,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_22,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_23,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_24,40,1000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_25,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_26,160,5000,node0_0_0_9|P1-sw_0_4|e9|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_27,80,1000,node0_0_0_9|P1-sw_0_4|e9|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_28,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_29,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
