FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_2,120,5000,node0_0_0_6|P0-sw_0_8|e1|6|P4-sw_0_1|e6|5|P1-sw_0_5|e12|7|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_3,160,10000,node0_0_0_6|P0-sw_0_8|e1|4|P2-sw_0_1|e4|3|P1-sw_0_2|e7|4|node0_0_0_3
VLAN_0_Flow_5,160,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_6,160,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_7,200,10000,node0_0_0_6|P0-sw_0_8|e1|4|P2-sw_0_1|e4|3|P3-sw_0_2|e9|4|P3-sw_0_4|e11|3|node0_0_0_9
VLAN_0_Flow_8,220,1000,node0_0_0_6|P0-sw_0_8|e1|5|P2-sw_0_1|e4|6|P3-sw_0_2|e9|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_9,280,1000,node0_0_0_6|P0-sw_0_8|e1|5|P1-sw_0_1|e3|7|P1-sw_0_0|e8|6|P3-sw_0_2|e9|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_10,100,2000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_11,240,5000,node0_0_0_6|P0-sw_0_8|e1|6|P1-sw_0_1|e3|7|P1-sw_0_0|e8|5|P3-sw_0_2|e9|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_12,160,5000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_13,120,2000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_14,140,2000,node0_0_0_9|P2-sw_0_4|e10|5|node0_0_0_7
VLAN_0_Flow_15,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_16,160,2000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_17,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_18,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
VLAN_0_Flow_19,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_20,260,1000,node0_0_0_9|P4-sw_0_4|e12|7|P0-sw_0_5|e6|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|7|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_21,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_22,800,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_23,600,10000,node0_0_0_9|P2-sw_0_4|e10|1|node0_0_0_7
VLAN_0_Flow_24,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_25,160,2000,node0_0_0_9|P1-sw_0_4|e9|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_26,320,2000,node0_0_0_9|P0-sw_0_4|e5|5|P1-sw_0_1|e3|7|P1-sw_0_0|e8|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_27,140,1000,node0_0_0_9|P0-sw_0_4|e5|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_28,340,2000,node0_0_0_9|P0-sw_0_4|e5|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|6|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_29,320,5000,node0_0_0_9|P1-sw_0_4|e9|3|P1-sw_0_2|e7|4|node0_0_0_3
