FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_1,200,10000,node0_0_0_6|e2|sw_0_8-P0|e1|4|sw_0_1-P1|e3|3|sw_0_0-P1|e8|4|sw_0_2-P1|e7|3|node0_0_0_3
VLAN_0_Flow_4,120,2000,node0_0_0_6|e2|sw_0_8-P0|e1|7|sw_0_1-P3|e5|5|sw_0_4-P1|e9|7|sw_0_2-P1|e7|6|node0_0_0_3
VLAN_0_Flow_6,160,10000,node0_0_0_6|e2|sw_0_8-P0|e1|4|sw_0_1-P3|e5|3|sw_0_4-P3|e11|4|node0_0_0_9
VLAN_0_Flow_10,100,2000,node0_0_0_6|e2|sw_0_8-P0|e1|7|sw_0_1-P4|e6|6|sw_0_5-P1|e12|5|sw_0_4-P3|e11|7|node0_0_0_9
VLAN_0_Flow_12,120,1000,node0_0_0_6|e2|sw_0_8-P0|e1|6|sw_0_1-P4|e6|5|sw_0_5-P1|e12|7|sw_0_4-P2|e10|6|node0_0_0_7
VLAN_0_Flow_13,160,10000,node0_0_0_6|e2|sw_0_8-P0|e1|4|sw_0_1-P3|e5|3|sw_0_4-P2|e10|4|node0_0_0_7
VLAN_0_Flow_14,80,10000,node0_0_0_9|e11|sw_0_4-P2|e10|4|node0_0_0_7
VLAN_0_Flow_15,100,1000,node0_0_0_9|e11|sw_0_4-P4|e12|7|sw_0_5-P0|e6|6|sw_0_1-P2|e4|5|sw_0_2-P1|e7|7|node0_0_0_3
VLAN_0_Flow_16,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_17,60,1000,node0_0_0_9|e11|sw_0_4-P2|e10|6|node0_0_0_7
VLAN_0_Flow_18,600,10000,node0_0_0_9|e11|sw_0_4-P1|e9|2|sw_0_2-P1|e7|1|node0_0_0_3
VLAN_0_Flow_19,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_20,100,2000,node0_0_0_9|e11|sw_0_4-P4|e12|7|sw_0_5-P0|e6|6|sw_0_1-P2|e4|5|sw_0_2-P1|e7|7|node0_0_0_3
VLAN_0_Flow_22,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_23,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_24,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_25,120,5000,node0_0_0_9|e11|sw_0_4-P1|e9|4|sw_0_2-P1|e7|3|node0_0_0_3
VLAN_0_Flow_28,120,5000,node0_0_0_9|e11|sw_0_4-P1|e9|4|sw_0_2-P1|e7|3|node0_0_0_3
VLAN_0_Flow_29,100,1000,node0_0_0_9|e11|sw_0_4-P0|e5|6|sw_0_1-P2|e4|5|sw_0_2-P1|e7|7|node0_0_0_3
