FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_1,80,2000,node0_0_0_6|e2|sw_0_8-P0|e1|7|sw_0_1-P2|e4|6|sw_0_2-P1|e7|5|node0_0_0_3
VLAN_0_Flow_4,120,2000,node0_0_0_6|e2|sw_0_8-P0|e1|6|sw_0_1-P1|e3|5|sw_0_0-P1|e8|7|sw_0_2-P1|e7|6|node0_0_0_3
VLAN_0_Flow_6,160,10000,node0_0_0_6|e2|sw_0_8-P0|e1|4|sw_0_1-P3|e5|3|sw_0_4-P3|e11|4|node0_0_0_9
VLAN_0_Flow_7,80,5000,node0_0_0_6|e2|sw_0_8-P0|e1|7|sw_0_1-P3|e5|6|sw_0_4-P3|e11|5|node0_0_0_9
VLAN_0_Flow_8,800,10000,node0_0_0_6|e2|sw_0_8-P0|e1|2|sw_0_1-P3|e5|1|sw_0_4-P3|e11|2|node0_0_0_9
VLAN_0_Flow_9,120,2000,node0_0_0_6|e2|sw_0_8-P0|e1|6|sw_0_1-P4|e6|5|sw_0_5-P1|e12|7|sw_0_4-P3|e11|6|node0_0_0_9
VLAN_0_Flow_10,120,5000,node0_0_0_6|e2|sw_0_8-P0|e1|7|sw_0_1-P2|e4|6|sw_0_2-P3|e9|7|sw_0_4-P3|e11|6|node0_0_0_9
VLAN_0_Flow_12,800,10000,node0_0_0_6|e2|sw_0_8-P0|e1|2|sw_0_1-P3|e5|1|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_13,160,5000,node0_0_0_6|e2|sw_0_8-P0|e1|4|sw_0_1-P3|e5|3|sw_0_4-P2|e10|4|node0_0_0_7
VLAN_0_Flow_14,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_16,80,5000,node0_0_0_9|e11|sw_0_4-P2|e10|4|node0_0_0_7
VLAN_0_Flow_18,120,5000,node0_0_0_9|e11|sw_0_4-P1|e9|4|sw_0_2-P1|e7|3|node0_0_0_3
VLAN_0_Flow_19,80,5000,node0_0_0_9|e11|sw_0_4-P2|e10|4|node0_0_0_7
VLAN_0_Flow_20,120,1000,node0_0_0_9|e11|sw_0_4-P0|e5|7|sw_0_1-P1|e3|5|sw_0_0-P1|e8|7|sw_0_2-P1|e7|6|node0_0_0_3
VLAN_0_Flow_21,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_22,80,5000,node0_0_0_9|e11|sw_0_4-P2|e10|4|node0_0_0_7
VLAN_0_Flow_23,400,10000,node0_0_0_9|e11|sw_0_4-P2|e10|2|node0_0_0_7
VLAN_0_Flow_25,160,5000,node0_0_0_9|e11|sw_0_4-P0|e5|4|sw_0_1-P2|e4|3|sw_0_2-P1|e7|4|node0_0_0_3
VLAN_0_Flow_26,120,5000,node0_0_0_9|e11|sw_0_4-P1|e9|4|sw_0_2-P1|e7|3|node0_0_0_3
VLAN_0_Flow_27,80,1000,node0_0_0_9|e11|sw_0_4-P1|e9|6|sw_0_2-P1|e7|5|node0_0_0_3
VLAN_0_Flow_28,120,5000,node0_0_0_9|e11|sw_0_4-P1|e9|4|sw_0_2-P1|e7|3|node0_0_0_3
VLAN_0_Flow_29,600,10000,node0_0_0_9|e11|sw_0_4-P1|e9|2|sw_0_2-P1|e7|1|node0_0_0_3
