FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,200,5000,node0_0_0_13|P2-sw_0_7|e16|4|P3-sw_0_4|e19|3|P1-sw_0_0|e14|4|P0-sw_0_3|e2|3|node0_0_0_11
VLAN_0_Flow_2,60,5000,node0_0_0_10|P4-sw_0_6|e8|7|P0-sw_0_7|e4|6|node0_0_0_13
VLAN_0_Flow_2,200,5000,node0_0_0_10|P2-sw_0_6|e6|4|P3-sw_0_0|e20|3|P0-sw_0_5|e12|4|P0-sw_0_2|e3|3|node0_0_0_12
VLAN_0_Flow_3,240,10000,node0_0_0_13|P3-sw_0_7|e17|4|P2-sw_0_1|e15|3|P0-sw_0_3|e2|4|node0_0_0_11
VLAN_0_Flow_3,800,10000,node0_0_0_10|P3-sw_0_6|e7|2|P1-sw_0_1|e10|1|P0-sw_0_2|e3|2|node0_0_0_12
VLAN_0_Flow_5,120,10000,node0_0_0_10|P4-sw_0_6|e8|4|P0-sw_0_7|e4|3|node0_0_0_13
VLAN_0_Flow_5,600,10000,node0_0_0_10|P4-sw_0_6|e8|2|P0-sw_0_7|e4|1|node0_0_0_13
VLAN_0_Flow_6,160,10000,node0_0_0_13|P4-sw_0_7|e18|4|P1-sw_0_5|e13|3|P0-sw_0_3|e2|4|node0_0_0_11
VLAN_0_Flow_6,600,10000,node0_0_0_10|P4-sw_0_6|e8|2|P0-sw_0_7|e4|1|node0_0_0_13
VLAN_0_Flow_7,160,10000,node0_0_0_13|P3-sw_0_7|e17|4|P2-sw_0_1|e15|3|P0-sw_0_3|e2|4|node0_0_0_11
VLAN_0_Flow_7,600,10000,node0_0_0_10|P4-sw_0_6|e8|2|P0-sw_0_7|e4|1|node0_0_0_13
VLAN_0_Flow_8,160,1000,node0_0_0_13|P4-sw_0_7|e18|7|P1-sw_0_5|e13|6|P0-sw_0_3|e2|7|node0_0_0_11
VLAN_0_Flow_8,200,1000,node0_0_0_13|P1-sw_0_7|e8|6|P2-sw_0_6|e6|5|P1-sw_0_0|e14|7|P0-sw_0_3|e2|5|node0_0_0_11
VLAN_0_Flow_9,80,1000,node0_0_0_13|P3-sw_0_7|e17|7|P2-sw_0_1|e15|6|P0-sw_0_3|e2|5|node0_0_0_11
VLAN_0_Flow_9,120,1000,node0_0_0_13|P1-sw_0_7|e8|6|P2-sw_0_6|e6|5|P1-sw_0_0|e14|7|P0-sw_0_3|e2|6|node0_0_0_11
VLAN_0_Flow_10,300,2000,node0_0_0_13|P1-sw_0_7|e8|5|P2-sw_0_6|e6|6|P1-sw_0_0|e14|7|P0-sw_0_3|e2|6|node0_0_0_11
VLAN_0_Flow_10,60,2000,node0_0_0_10|P4-sw_0_6|e8|7|P0-sw_0_7|e4|6|node0_0_0_13
VLAN_0_Flow_11,240,5000,node0_0_0_13|P1-sw_0_7|e8|5|P2-sw_0_6|e6|7|P1-sw_0_0|e14|5|P0-sw_0_3|e2|6|node0_0_0_11
VLAN_0_Flow_11,160,5000,node0_0_0_13|P4-sw_0_7|e18|4|P1-sw_0_5|e13|3|P0-sw_0_3|e2|4|node0_0_0_11
VLAN_0_Flow_12,180,5000,node0_0_0_10|P3-sw_0_6|e7|5|P1-sw_0_1|e10|7|P0-sw_0_2|e3|6|node0_0_0_12
VLAN_0_Flow_12,160,5000,node0_0_0_10|P1-sw_0_6|e5|4|P1-sw_0_4|e9|3|P0-sw_0_2|e3|4|node0_0_0_12
VLAN_0_Flow_13,220,2000,node0_0_0_10|P2-sw_0_6|e6|6|P3-sw_0_0|e20|7|P2-sw_0_5|e18|5|P0-sw_0_7|e4|7|node0_0_0_13
VLAN_0_Flow_13,140,2000,node0_0_0_10|P1-sw_0_6|e5|5|P2-sw_0_4|e16|7|P0-sw_0_7|e4|5|node0_0_0_13
VLAN_0_Flow_14,140,2000,node0_0_0_10|P3-sw_0_6|e7|7|P1-sw_0_1|e10|6|P0-sw_0_2|e3|5|node0_0_0_12
VLAN_0_Flow_14,160,2000,node0_0_0_10|P2-sw_0_6|e6|5|P1-sw_0_0|e14|7|P1-sw_0_3|e11|5|P0-sw_0_2|e3|7|node0_0_0_12
VLAN_0_Flow_15,100,5000,node0_0_0_13|P1-sw_0_7|e8|7|P2-sw_0_6|e6|6|P1-sw_0_0|e14|5|P0-sw_0_3|e2|7|node0_0_0_11
VLAN_0_Flow_15,160,5000,node0_0_0_10|P2-sw_0_6|e6|4|P1-sw_0_0|e14|3|P0-sw_0_3|e2|4|node0_0_0_11
VLAN_0_Flow_16,140,2000,node0_0_0_13|P4-sw_0_7|e18|5|P0-sw_0_5|e12|6|P0-sw_0_2|e3|5|node0_0_0_12
VLAN_0_Flow_16,220,2000,node0_0_0_10|P2-sw_0_6|e6|6|P3-sw_0_0|e20|7|P0-sw_0_5|e12|5|P0-sw_0_2|e3|7|node0_0_0_12
VLAN_0_Flow_17,100,5000,node0_0_0_10|P3-sw_0_6|e7|6|P1-sw_0_1|e10|5|P0-sw_0_2|e3|7|node0_0_0_12
VLAN_0_Flow_17,160,5000,node0_0_0_10|P1-sw_0_6|e5|4|P1-sw_0_4|e9|3|P0-sw_0_2|e3|4|node0_0_0_12
VLAN_0_Flow_18,160,10000,node0_0_0_10|P2-sw_0_6|e6|4|P1-sw_0_0|e14|3|P0-sw_0_3|e2|4|node0_0_0_11
VLAN_0_Flow_18,800,10000,node0_0_0_10|P2-sw_0_6|e6|2|P1-sw_0_0|e14|1|P0-sw_0_3|e2|2|node0_0_0_11
VLAN_0_Flow_19,160,10000,node0_0_0_13|P4-sw_0_7|e18|4|P0-sw_0_5|e12|3|P0-sw_0_2|e3|4|node0_0_0_12
VLAN_0_Flow_19,800,10000,node0_0_0_10|P3-sw_0_6|e7|2|P1-sw_0_1|e10|1|P0-sw_0_2|e3|2|node0_0_0_12
VLAN_0_Flow_20,80,1000,node0_0_0_10|P2-sw_0_6|e6|7|P1-sw_0_0|e14|6|P0-sw_0_3|e2|5|node0_0_0_11
VLAN_0_Flow_20,340,1000,node0_0_0_13|P2-sw_0_7|e16|5|P3-sw_0_4|e19|7|P1-sw_0_0|e14|5|P0-sw_0_3|e2|7|node0_0_0_11
VLAN_0_Flow_21,260,5000,node0_0_0_10|P2-sw_0_6|e6|6|P3-sw_0_0|e20|5|P0-sw_0_5|e12|6|P0-sw_0_2|e3|5|node0_0_0_12
VLAN_0_Flow_21,160,5000,node0_0_0_13|P3-sw_0_7|e17|4|P1-sw_0_1|e10|3|P0-sw_0_2|e3|4|node0_0_0_12
VLAN_0_Flow_22,160,10000,node0_0_0_13|P3-sw_0_7|e17|4|P1-sw_0_1|e10|3|P0-sw_0_2|e3|4|node0_0_0_12
